id,no_mask,yes_mask 
13119,0.359,0.64
13121,0.151,0.849
13123,0.257,0.743
13125,0.329,0.671
13127,0.264,0.736
13129,0.473,0.526
13131,0.318,0.681
13133,0.165,0.834
13135,0.171,0.829
13137,0.279,0.722
13139,0.258,0.743
13141,0.256,0.743
13143,0.472,0.529
13145,0.235,0.764
13147,0.293,0.707
13149,0.386,0.615
13151,0.242,0.759
13153,0.247,0.753
13155,0.315,0.684
13157,0.327,0.674
13159,0.322,0.678
13161,0.427,0.573
13163,0.405,0.595
13165,0.251,0.749
13167,0.281,0.719
13169,0.362,0.639
13171,0.301,0.699
13173,0.317,0.683
13175,0.319,0.682
13177,0.107,0.894
13179,0.172,0.829
13181,0.288,0.712
13183,0.219,0.78
13185,0.358,0.643
13187,0.251,0.749
13189,0.248,0.753
13191,0.298,0.702
13193,0.24,0.76
13195,0.304,0.697
13197,0.371,0.629
13199,0.333,0.667
13201,0.302,0.698
13205,0.211,0.789
13207,0.291,0.708
13209,0.371,0.629
13211,0.218,0.782
13213,0.405,0.594
13215,0.219,0.78
13217,0.293,0.707
13219,0.207,0.792
13221,0.192,0.808
13223,0.273,0.727
13225,0.273,0.727
13227,0.257,0.743
13229,0.32,0.679
13231,0.266,0.734
13233,0.369,0.63
13235,0.208,0.793
13237,0.27,0.73
13239,0.298,0.701
13241,0.307,0.693
13243,0.131,0.869
13245,0.241,0.758
13247,0.251,0.75
13249,0.289,0.711
13251,0.348,0.652
13253,0.354,0.645
13255,0.289,0.711
13257,0.319,0.68
13259,0.28,0.72
13261,0.157,0.843
13263,0.337,0.663
13265,0.199,0.802
13267,0.341,0.658
13269,0.377,0.623
13271,0.365,0.635
13273,0.078,0.922
13275,0.242,0.758
13277,0.276,0.723
13279,0.345,0.655
13281,0.27,0.73
13283,0.334,0.666
13285,0.325,0.675
13287,0.277,0.722
13289,0.305,0.695
13291,0.271,0.728
13293,0.374,0.627
13295,0.425,0.576
13297,0.417,0.583
13299,0.278,0.722
13301,0.3,0.7
13303,0.227,0.774
13305,0.311,0.689
13307,0.186,0.813
13309,0.375,0.625
13311,0.22,0.78
13313,0.456,0.545
13315,0.273,0.726
13317,0.28,0.72
13319,0.242,0.758
13321,0.208,0.792
15001,0.079,0.921
15003,0.05,0.949
15005,0.071,0.93
15007,0.067,0.933
15009,0.075,0.925
16001,0.28,0.72
16003,0.528,0.472
16005,0.453,0.547
16007,0.373,0.628
16009,0.247,0.753
16011,0.467,0.533
16013,0.364,0.636
16015,0.133,0.867
16017,0.323,0.677
16019,0.486,0.515
16021,0.277,0.722
16023,0.479,0.52
16025,0.263,0.737
16027,0.378,0.621
16029,0.472,0.528
16031,0.459,0.541
16033,0.543,0.457
